# Simulation 7 (Up to date),,,,,,,,
# 648 data points written for 9 variables.,,,,,,,,
#,,,,,,,,
# Tiempo (s),Altitud (m),Altitude above sea level (m),Velocidad vertical (m/s),Velocidad total (m/s),AceleraciÃ³n vertical (m/sÂ²),AceleraciÃ³n total (m/sÂ²),Velocidad horizontal (m/s),AceleraciÃ³n horizontal (m/sÂ²)
# Event IGNITION occurred at t=0 seconds,,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,
0,0,0,0,0,0,0,0,0
"0,005","0,0004287","0,0004287","0,265","0,265","112,685","112,685","9,072E-05","0,022"
"0,01","0,003","0,003","0,83","0,83","113,319","113,319","0,0002059","0,025"
"0,015","0,009","0,009","1,399","1,399","113,944","113,944","0,0003424","0,03"
"0,02","0,017","0,017","1,97","1,97","114,563","114,563","0,0005655","0,099"
# Event LIFTOFF occurred at t=0.025 seconds,,,,,,,,
"0,025","0,028","0,028","2,544","2,544","115,173","115,173","0,001",0
"0,03","0,043","0,043","3,122","3,122","115,777","115,777","0,001",0
"0,035","0,06","0,06","3,702","3,702","116,373","116,373","0,001",0
"0,04","0,08","0,08","4,285","4,285","116,963","116,963","0,001",0
"0,045","0,103","0,103","4,872","4,872","117,545","117,545","0,001",0
"0,05","0,128","0,128","5,461","5,461","118,12","118,12","0,001",0
"0,055","0,157","0,157","6,053","6,053","118,689","118,689","0,001",0
"0,06","0,189","0,189","6,648","6,648","119,25","119,25","0,001",0
"0,065","0,224","0,224","7,245","7,245","119,805","119,805","0,001",0
"0,07","0,261","0,261","7,846","7,846","120,353","120,353","0,001",0
"0,075","0,302","0,302","8,449","8,449","120,894","120,894","0,001",0
"0,08","0,346","0,346","9,054","9,054","121,428","121,428","0,001",0
"0,085","0,393","0,393","9,663","9,663","121,955","121,955","0,001",0
"0,09","0,442","0,442","10,274","10,274","122,476","122,476","0,001",0
"0,095","0,495","0,495","10,888","10,888","122,989","122,989","0,001",0
"0,1","0,551","0,551","11,504","11,504","123,496","123,496","0,001",0
"0,105","0,61","0,61","12,123","12,123","123,995","123,995","0,001",0
"0,11","0,673","0,673","12,744","12,744","124,488","124,488","0,001",0
"0,115","0,738","0,738","13,367","13,367","124,973","124,973","0,001",0
"0,12","0,806","0,806","13,994","13,994","125,452","125,452","0,001",0
"0,125","0,878","0,878","14,622","14,622","125,924","125,924","0,001",0
"0,13","0,952","0,952","15,253","15,253","126,389","126,389","0,001",0
# Event LAUNCHROD occurred at t=0.135 seconds,,,,,,,,
"0,135","1,03","1,03","15,886","15,886","126,846","126,847","0,001","0,434"
"0,14","1,111","1,111","16,521","16,521","127,298","127,298","0,003","0,449"
"0,145","1,196","1,196","17,159","17,159","127,742","127,743","0,006","0,462"
"0,15","1,283","1,283","17,799","17,799","128,179","128,18","0,008","0,472"
"0,155","1,374","1,374","18,441","18,441","128,61","128,611","0,01","0,48"
"0,16","1,467","1,467","19,085","19,085","129,033","129,034","0,013","0,484"
"0,165","1,564","1,564","19,731","19,731","129,45","129,451","0,015","0,486"
"0,17","1,665","1,665","20,379","20,379","129,86","129,861","0,018","0,485"
"0,175","1,768","1,768","21,029","21,029","130,263","130,264","0,02","0,48"
"0,18","1,875","1,875","21,682","21,682","130,659","130,66","0,022","0,472"
"0,185","1,985","1,985","22,336","22,336","131,049","131,049","0,025","0,461"
"0,19","2,098","2,098","22,992","22,992","131,431","131,432","0,027","0,445"
"0,195","2,215","2,215","23,65","23,65","131,807","131,807","0,029","0,426"
"0,2","2,335","2,335","24,31","24,31","132,175","132,176","0,031","0,402"
"0,205","2,458","2,458","24,972","24,972","132,537","132,538","0,033","0,372"
"0,21","2,585","2,585","25,636","25,636","132,893","132,893","0,035","0,337"
"0,215","2,714","2,714","26,301","26,301","133,241","133,241","0,037","0,298"
"0,22","2,848","2,848","26,968","26,968","133,582","133,582","0,038","0,253"
"0,225","2,984","2,984","27,637","27,637","133,917","133,917","0,039","0,204"
"0,23","3,124","3,124","28,307","28,307","134,244","134,244","0,04","0,149"
"0,235","3,267","3,267","28,981","28,981","135,379","135,379","0,041","0,086"
"0,24","3,414","3,414","29,66","29,66","135,968","135,968","0,041","0,018"
"0,245","3,564","3,564","30,341","30,341","136,545","136,545","0,041","0,055"
"0,25","3,717","3,717","31,025","31,025","137,109","137,109","0,04","0,134"
"0,255","3,874","3,874","31,712","31,712","137,66","137,661","0,039","0,211"
"0,26","4,034","4,034","32,402","32,402","138,199","138,199","0,038","0,294"
"0,265","4,198","4,198","33,094","33,094","138,724","138,725","0,036","0,383"
"0,27","4,365","4,365","33,789","33,789","139,236","139,237","0,034","0,479"
"0,275","4,536","4,536","34,486","34,486","139,735","139,736","0,032","0,582"
